parameter,mu_star,mu_star_conf,sigma,mu,era,rank
WWR,17.4929,3.1703,5.4287,17.4929,3,1
infiltration,15.9111,2.4563,4.4434,15.9111,3,2
window_U,10.2545,3.4357,6.3372,10.2545,3,3
cooling_setpoint,8.3499,2.6313,4.2903,-8.3499,3,4
heating_setpoint,6.5387,2.6697,4.5315,6.3566,3,5
wall_U,5.4560,2.8751,5.8086,4.5429,3,6
roof_U,4.3363,1.2375,2.2182,4.3363,3,7
lighting_power,4.0822,0.9362,1.6763,4.0822,3,8
equipment_power,3.3855,1.5639,2.5058,3.3409,3,9
occupant_density,3.1500,1.0849,3.6790,-0.9211,3,10
