archetype,era,era_label,retrofit,retrofit_label,description,heating_kwh_m2,cooling_kwh_m2,total_eui_kwh_m2,baseline_eui,savings_percent,heat_savings_pct,cool_savings_pct
Era1_1980s_MidRise,1,Era 1 (~1980s),Baseline,Baseline,No retrofit applied,99.61,44.46,261.21,261.21,0.00,0.00,0.00
Era2_2000s_MidRise,2,Era 2 (~2000s),Baseline,Baseline,No retrofit applied,60.96,36.16,211.43,211.43,0.00,0.00,0.00
Era3_2010s_HighRise,3,Era 3 (~2010s+),Baseline,Baseline,No retrofit applied,15.06,20.90,150.41,150.41,0.00,0.00,0.00
Era1_1980s_MidRise,1,Era 1 (~1980s),R1_Wall,R1: Wall,EPS insulation board added externally to achieve U = 0.4 W/m²K,85.21,41.66,242.72,261.21,7.08,14.46,6.30
Era1_1980s_MidRise,1,Era 1 (~1980s),R2_Window,R2: Window,"Low-e double glazing, U = 1.8 W/m²K, SHGC = 0.35",94.86,40.25,251.06,261.21,3.89,4.77,9.47
Era1_1980s_MidRise,1,Era 1 (~1980s),R3_Roof,R3: Roof,XPS insulation board on roof to achieve U = 0.3 W/m²K,91.26,42.36,250.33,261.21,4.17,8.38,4.72
Era1_1980s_MidRise,1,Era 1 (~1980s),R4_Infiltration,R4: Air sealing,Envelope air-sealing: reduce infiltration to 0.3 ACH,26.77,32.06,171.67,261.21,34.28,73.13,27.89
Era1_1980s_MidRise,1,Era 1 (~1980s),R5_Combined,R5: Combined,All four measures applied simultaneously,2.97,25.17,138.34,261.21,47.04,97.02,43.39
Era2_2000s_MidRise,2,Era 2 (~2000s),R1_Wall,R1: Wall,EPS insulation board added externally to achieve U = 0.4 W/m²K,52.83,34.67,201.06,211.43,4.90,13.34,4.12
Era2_2000s_MidRise,2,Era 2 (~2000s),R2_Window,R2: Window,"Low-e double glazing, U = 1.8 W/m²K, SHGC = 0.35",58.97,34.05,206.67,211.43,2.25,3.26,5.84
Era2_2000s_MidRise,2,Era 2 (~2000s),R3_Roof,R3: Roof,XPS insulation board on roof to achieve U = 0.3 W/m²K,56.07,35.11,205.06,211.43,3.01,8.02,2.90
Era2_2000s_MidRise,2,Era 2 (~2000s),R4_Infiltration,R4: Air sealing,Envelope air-sealing: reduce infiltration to 0.3 ACH,14.77,28.54,155.01,211.43,26.68,75.77,21.07
Era2_2000s_MidRise,2,Era 2 (~2000s),R5_Combined,R5: Combined,All four measures applied simultaneously,2.97,25.17,138.34,211.43,34.57,95.13,30.39
Era3_2010s_HighRise,3,Era 3 (~2010s+),R1_Wall,R1: Wall,EPS insulation board added externally to achieve U = 0.4 W/m²K,13.39,20.61,147.59,150.41,1.87,11.09,1.39
Era3_2010s_HighRise,3,Era 3 (~2010s+),R2_Window,R2: Window,"Low-e double glazing, U = 1.8 W/m²K, SHGC = 0.35",13.37,20.34,147.14,150.41,2.17,11.22,2.68
Era3_2010s_HighRise,3,Era 3 (~2010s+),R3_Roof,R3: Roof,XPS insulation board on roof to achieve U = 0.3 W/m²K,14.79,20.83,149.92,150.41,0.33,1.79,0.33
Era3_2010s_HighRise,3,Era 3 (~2010s+),R4_Infiltration,R4: Air sealing,Envelope air-sealing: reduce infiltration to 0.3 ACH,1.35,18.94,128.86,150.41,14.33,91.04,9.38
Era3_2010s_HighRise,3,Era 3 (~2010s+),R5_Combined,R5: Combined,All four measures applied simultaneously,0.19,18.96,126.91,150.41,15.62,98.74,9.28
