archetype,era,era_label,arch_type,month,pv_gen_kwh
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,1,6100.7
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,2,5389.8
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,3,6429.6
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,4,6903.2
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,5,7859.8
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,6,7033.6
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,7,9509.3
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,8,8332.2
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,9,7946.7
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,10,7700.3
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,11,6557.6
Era1_1980s_MidRise,1,Era 1 (~1980s),MidRise,12,6078.4
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,1,6100.7
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,2,5389.8
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,3,6429.6
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,4,6903.2
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,5,7859.8
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,6,7033.6
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,7,9509.3
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,8,8332.2
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,9,7946.7
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,10,7700.3
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,11,6557.6
Era2_2000s_MidRise,2,Era 2 (~2000s),MidRise,12,6078.4
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,1,3389.3
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,2,2994.3
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,3,3572.0
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,4,3835.1
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,5,4366.6
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,6,3907.6
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,7,5283.0
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,8,4629.0
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,9,4414.8
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,10,4277.9
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,11,3643.1
Era3_2010s_HighRise,3,Era 3 (~2010s+),HighRise,12,3376.9
